date,team,player,position,crimeraw,desc
1/31/2011,MIN,Everson Griffen,DE,assault,"Pulled over near USC campus in Los Angeles, subdued by Taser after allegedly assaulting officer during traffic stop."
1/29/2011,MIN,Everson Griffen,DE,alcohol - other,"Accused of being drunk in public in Hollywood, Calif."
1/17/2011,DEN,Laurence Maroney,RB,drugs,"Pulled over in St. Louis, accused of unlawful possession of guns and drugs with other men."
1/17/2011,DEN,Laurence Maroney,RB,firearms,"Pulled over in St. Louis, accused of unlawful possession of guns and drugs with other men."
12/27/2010,WAS,Joe Joseph,DT,dui,"Police responded to report of single-car accident, accused him of drunk driving around 3 a.m. in Loudoun County, Va."
12/26/2010,BAL,Sergio Kindle,LB,dui,"Pulled over on suspicion of drunk driving in Jessup, Md. Measured .17 on a Breathalyzer test."
12/20/2010,DEN,Kevin Alexander,LB,domestic violence,Girlfriend accused him of shoving and striking her in the face near Denver. Charged with battery and assault.
12/13/2010,TB,Geno Hayes,LB,disorderly conduct,Charged after altercation outside Tampa nightclub in which police used stun gun on him.
12/9/2010,DEN,Perrish Cox,CB,sexual abuse,"Accused of impregnanting woman after she passed out in Lone Tree, Colo."
11/27/2010,NO,Will Smith,DE,domestic violence,"Charged after police in Lafayette, La., observed him allegedly arguing with his wife and pulling her by the hair."
11/19/2010,TB,Mike Williams,WR,dui,"Pulled over on suspicion of drunken driving in Hillsborough County, Fla., despite Breathalyzer test showing legal blood-alcohol level."
11/13/2010,SEA,Raheem Brock,DE,dui,Pulled over by University of Washington police in Seattle on suspicion of drunken driving. Measured .13 on a Breathalyzer test.
11/12/2010,DEN,D.J. Williams,LB,dui,Pulled over on suspicion on drunk driving in Denver at 2:40 a.m. Also cited for driving without headlights.
10/24/2010,DEN,Elvis Dumervil,LB,assault,"Cited for assault, disturbing the peace after alleged altercation with parking lot attendant at Invesco Field in Denver after he forgot his credentials."
10/23/2010,TB,Jerramy Stevens,TE,drugs,"Pulled over and cited for possession of marijuana in Tampa, of which 38 grams were found in the car."
10/20/2010,IND,Pat McAfee,P,alcohol - other,"Cited after he took a late-night swim in a canal in Indianapolis and told police, ""I am drunk."" Officers said he had a .15 blood-alcohol content."
10/5/2010,CAR,Dwayne Jarrett,WR,dui,Pulled over for speeding after 2 a.m. and arrested on suspicion of driving under the influence in Charlotte.
9/25/2010,NE,Bret Lockett,DB,disorderly conduct,"Cited after police said he ignored their instructions to stay away from a club in Providence, R.I., that was filled to capactiy."
9/21/2010,NYJ,Braylon Edwards,WR,dui,Pulled over in New York at 5:15 a.m. because police say his windows were too tinted; smelled of alcohol and blood-alcohol measured .16
9/3/2010,IND,Fili Moala,DT,dui,Pulled over at 2:31 a.m. for speeding in Indianapolis and cited with suspicion of driving under the influence. Blood-alcohol measured .10.
8/8/2010,IND,John Gill,DT,alcohol - other,"Cited after found in a ditch on the side of the road, barefoot and slurring his speech in Marion County, Ind."
8/8/2010,CLE,Gerard Lawson,DB,dui,Cited with suspicion of driving under the influence after hitting a parked car and leaving the scene in Cleveland.
8/7/2010,WAS,Fred Davis,TE,reckless endagerment,"Cited with reckless driving, driving 20 mph over the speed limit in Fairfax County, Va."
8/4/2010,TEN,Kenny Britt,WR,traffic - other,"Pulled over in Nashville for windows in Camaro tinted too dark, then cited for misdemeanor driving without a valid license."
7/24/2010,STL,Jerome Murphy,CB,traffic - other,"Pulled over in Tampa for what said police said was loud music, charged with misdemeanor of driving without a valid license."
7/3/2010,SEA,Quinton Ganther,RB,dui,"Pulled over on suspicion for two misdemeanor counts of driving under the influence in Sacramento, Calif. State limit for BAC is .08."
7/1/2010,TEN,Chris Simms,QB,dui,Charged in New York City with driving while on drugs (marijuana) with his pregnant wife in the car.
7/1/2010,TEN,Chris Simms,QB,drugs,Charged in New York City with driving while on drugs (marijuana) with his pregnant wife in the car.
7/1/2010,CLE,Robaire Smith,DE/DT,firearms,"Charged for November 2009 incident of possessing a firearm (Belgian 5.7) at airport in Flint, Mich."
6/29/2010,CIN,Cedric Benson,RB,assault,"Charged with misdemeanor assault for a May 30 incident in Austin, Texas, where he allegedly punching a bar employee in the face."
6/16/2010,TEN,Derrick Morgan,DE,traffic - other,"Pulled over in Gordon County, Ga., for speeding, charged with driving with a suspended license."
6/13/2010,TEN,Vince Young,QB,assault,Accused of getting into a fight at a Dallas strip club and left before police arrived.
6/12/2010,SF,Ray McDonald,DE,dui,"Pulled over in his black BMW, clocked at 94 mph in a 65-mph zone, given field sobriety test in San Mateo County, Calif."
6/10/2010,GB,Brandon Underwood,CB,sexual abuse,"Charged with prostitution/non-marital sexual intercourse after two women alleged he sexually assaulted them in Lake Delton, Wisc."
5/26/2010,MIA,Phillip Merling,DE,domestic violence,"Charged with aggravated battery against his pregnant girlfriend in Weston, Fla."
5/24/2010,SD,Kevin Ellison,S,drugs,"Pulled over for speeding, charged with suspicion of possessing a controlled substance -- 100 Vicodin pills -- in Redondo Beach, Calif."
5/23/2010,NO,Harry Coleman,S,battery,Charged with misdemeanor simple battery after allegedly shoving someone out of the way upon leaving tribal casino in Louisiana.
5/16/2010,TB,Mario Urrutia,WR,traffic - other,Charged with non-resident driver's license violation by Hillsborough (Fla.) County deputies.
5/8/2010,DEN,Ronald Fields,DT,firearms,"Pulled over in Houston upon witness seeing Fields waving a gun at a club, then driving off, charged with misdemeanor."
5/7/2010,WAS,Fred Davis,TE,traffic - other,"Charged with driving with a suspended license, falsely identifying himself to police in Loudon County (Va.)."
5/4/2010,CIN,Maurice Purify,WR,disorderly conduct,"Charged with misdemeanor disorderly conduct after scuffle at a Newport, Ky., nightclub."
4/17/2010,CLE,Chris Jennings,RB,assault,Accused of hitting a bouncer outside a Cleveland nightclub.
4/10/2010,SEA,Leroy Hill,LB,domestic violence,"Charged with investigation of assault in the fourth degree/domestic violence from dispute with girlfriend in Issaquah, Wash."
4/7/2010,WAS,Fred Davis,TE,traffic - other,"Pulled over for speeding, found to be driving under a suspended/revoked license in Loudoun County, Va."
4/1/2010,CLE,Shaun Rogers,DT,firearms,Charged at Cleveland Hopkins International Airport on felony count for carrying a handgun in his carry-on bag.
3/27/2010,ARI,Joey Porter,LB,dui,"Suspected of DUI and charged with assaulting an officer, resisting arrest after trying to help a friend who had been pulled over in Bakersfield, Calif."
3/27/2010,ARI,Joey Porter,LB,assault,"Suspected of DUI and charged with assaulting an officer, resisting arrest after trying to help a friend who had been pulled over in Bakersfield, Calif."
3/19/2010,MIA,Ronnie Brown,RB,dui,"Pulled over in Atlanta for failing to use a turn signal, then charged with DUI with reported blood-alcohol level at 0.158."
3/13/2010,GB,Spencer Havner,TE,dui,"Arrested in Grass Valley, Calif., after crashing his motorcycle; taken to hospital, and found to be under the influence."
2/20/2010,MIA,Will Allen,CB,dui,Charged in Miami Beach after tried to get through police roadblock. Blood alcohol measured at .152 and .167.
2/19/2010,WAS,Byron Westbrook,CB,dui,"Pulled over in Waldorf, Md., after his Mercedes crossed the center line several times, suspected of drunken driving."
2/6/2010,MIA,Tony McDaniel,DT,domestic violence,"Charged with misdemeanor battery at Davie, Fla., home, after shoving his girlfriend, whose head hit the pavenment."
2/2/2010,DAL,Deon Anderson,FB,firearms,"Accused of pulling loaded gun a man in dispute in Addison, Texas, also having outstanding traffic warrants."
1/30/2010,KC,Michael Richardson,CB,alcohol - other,"One of hundreds charged with being in possession of an open alcohol container, at the Gasparilla Parade in Tampa."
1/29/2010,CIN,Rey Maualuga,LB,dui,"Charged with drunk driving in Covington, Ky., after police said he struck two parked vehicles and parking meter. Blood-alcohol .157."
1/18/2010,WAS,Chad Rinehart,OT,alcohol - other,"Charged after police in Cedar Falls, Iowa, say he was pulling on the locked door outside a bar and refused a breath test."
1/17/2010,SD,Vincent Jackson,WR,traffic - other,"Pulled over for playing loud music, cited for driving with a suspended license and expired tags in San Diego."
1/15/2010,TEN,Kenny Britt,WR,traffic - other,"Pulled over in Glen Ridge., N.J., and had three outstanding traffic warrants."
1/10/2010,TB,Jermaine Phillips,S,domestic violence,Charged with third-degree felony domestic battery for allegedly strangling his wife at home in Tampa after she called 911.
1/1/2010,IND,Taj Smith,WR,dui,"Pulled over in Indianapolis after car crossed lane divider and was above 30 mph speed limit. Failed field sobriety, breath tests."
12/29/2009,NO,Bobby McCray,DE,dui,"Pulled over for speeding in New Orleans at 4:30 a.m., refused breathalyzer test, accused of drunk driving, driving without registration."
12/10/2009,ATL,Jonathan Babineaux,DT,drugs,"Pulled over for a traffic violation in Gwinnett County, Ga., accused of marijuana possession."
11/30/2009,CAR,Jon Beason,LB,assault,Accused of aggravated assault after a confrontation with a man in Charlotte strip club.
11/16/2009,ATL,Eric Weems,WR,dui,"Pulled over in Dekalb County, Ga., accused of drunk driving."
10/27/2009,TB,Marcus Johnson,OG,dui,"Suspected of DUI after being found asleep in a Chevy Impala at 4 a.m. in Tampa, Fla., refused breath tests."
10/26/2009,CLE,Braylon Edwards,WR,assault,Charged with assault after allegedly punching a friend of LeBron James inside a Cleveland nightclub.
10/18/2009,PIT,Jeff Reed,K,alcohol - other,"Cited for resisting arrest, public intoxication in confrontation with police outside a Pittsburgh bar with teammate Matt Spaeth."
10/18/2009,PIT,Matt Spaeth,TE,public urination,Cited for public urination outside a Pittsburgh bar. Teammate Jeff Reed was arrested as part of the same incident.
10/13/2009,CHI,Lance Louis,OT,assault,Charged with assault after beating a teammate in a meeting room while enrolled at San Diego State in November of 2008.
10/5/2009,MIA,Will Billingsley,CB,domestic violence,"Charged with assault and nonviolently resisting arrest in Wilton Manors, Fla., after argument over shoes with his girlfriend, who was found with scratches on her upper arm and neck."
9/15/2009,IND,John Gill,DT,alcohol - other,"Police in Marion County, Ind., said he was charged with being drunk in public, the first of two such allegations within a year."
9/7/2009,DEN,Richard Quinn,TE,domestic violence,Live-in girlfriend accused him of shaking her to the ground and taking away the phone during an argument in Denver.
9/6/2009,SD,Shawne Merriman,LB,domestic violence,"Accused of battery and false imprisonment after allegedly choking and restraining his girlfriend, television personality Tila Tequila, in San Diego."
8/31/2009,NO,Usama Young,S,failure to appear,"Stopped for speeding in New Orleans, arrested for failing to appear in traffic court for allegedly parking in a handicap spot."
8/30/2009,MIN,Cedric Griffin,CB,dui,"Accused of drunken driving after voluntarily pulling, possibly because he felt he was too impaired to drive in Eden Prairie, Minn."
8/23/2009,BAL,Tony Fein,LB,assault,Accused of assault after a confrontation with an officer in Baltimore who was investigating report of possible gun being passed around his group.
8/21/2009,TEN,Chris Davis,WR,dui,"Pulled over for speeding in Nashville after 2 a.m., suspected of drunken driving. Consented to a breathalyzer test that measured 0.11 in blood alcohol content."
8/20/2009,TB,Aqib Talib,CB,assault,Accused of battery and resisting arrest after allegedly hitting a cab driver in Tampa in the neck and ear.
8/5/2009,PHI,Juqua Parker,DE,drugs,"Pulled over for a traffic violation in Bethlehem, Penn., accused of marijuana possession as passenger in the car."
6/28/2009,HOU,Vonta Leach,FB,assault,"Charged with simple assault in July for an alleged confrontation with a man in a restaurant near Leach's hometown of Lumberton, N.C."
6/20/2009,SEA,Owen Schmitt,FB,dui,"Suspected of drunken driving after being seen by an officer weaving and following cars too closely in Black Diamond, Wash. Blood-alcohol measured at 0.151."
5/26/2009,ATL,Quinn Ojinnaka,OT,domestic violence,"Accused of tossing his wife down the stairs and throwing her out of the house after an argument over him contacting a girl on Facebook in Gwinnett County, Ga."
5/24/2009,MIA,Randy Starks,DE,assault,Arrested after allegedly swerving his vehicle to strike a police officer on foot and pin him up against another car. Charged with aggravated battery in Miami.
5/17/2009,HOU,Brandon Walker,OG,dui,"Accused of drunk driving in Norman, Okla., where he played college football."
5/14/2009,BUF,Corey McIntyre,FB,indecent exposure,"Arrested two months after allegedly fondling himself outside of a woman's home in Port St. Lucie, Fla."
5/10/2009,HOU,Brandon Walker,OG,outstanding warrant,"Warrant issued in Norman, Okla., after he failed to pay a ticket for driving without proper registration and proof of insurance."
5/6/2009,TB,Anthony Mix,WR,sex - other,"Turned himself in after alledgedly having sex with a 15 year-old girl in Baldwin County, Ala.; the girl's mother turned him in after seeing text messages between the two."
5/3/2009,NO,Biren Ealy,WR,alcohol - other,"Charged with lewd coduct, obscenity and disturbing the peace near New Orleans. Accused of being drunk, urinating in public and exposing himself to women with teammate."
5/3/2009,NO,Kolomona Kapanui,TE,alcohol - other,"Charged with lewd conduct, obscenity and disturbing the peace near New Orleans. Accused of being drunk, urinating in public and exposing himself to women with teammate."
4/25/2009,SD,Shaun Phillips,LB,battery,Cited for misdemeanor battery after a security guard at a San Diego hotel said Phillips punched him.
4/11/2009,BUF,Donte Whitner,DB,disorderly conduct,"Police said they used Taser to subdue him at Cleveland club, charged him aggravated disorderly conduct and resisting arrest."
4/5/2009,CIN,Leon Hall,CB,dui,"Accused of drunken driving after being pulled over after 3 a.m., in Clermont County, Ohio. Breath test showed blood-alcohol content of 0.149."
4/1/2009,CLE,Donte Stallworth,WR,dui,Accused of striking and killing a pedestrian with his car in Miami March 14. Blood-alcohol content measured .126. Charged with DUI manslaughter.
4/1/2009,CLE,Donte Stallworth,WR,murder,Accused of striking and killing a pedestrian with his car in Miami March 14. Blood-alcohol content measured .126. Charged with DUI manslaughter.
3/21/2009,OAK,Cornell Green,OT,domestic violence,Accused of slamming the mother of his two children against wall and striking her arm with mop handle. Arrested at Tampa airport after incident.
3/13/2009,KC,David Macklin,CB,dui,"Pulled over after 3 a.m. in Newport News, Va., accused of drunken driving."
3/11/2009,WAS,Albert Haynesworth,DT,reckless endagerment,"Grand jury in Williamson County, Tenn., indicted him on charges of misdemeanor reckless driving and expired registration. Accused of causing Dec. 13 accident that caused another motorist to crash."
3/9/2009,JAC,Matt Jones,WR,alcohol - other,"Accused of violating terms of previous plea deal in cocaine case. He tested positive for alcohol consumption, leading to his arrest in Arkansas."
3/1/2009,DEN,Brandon Marshall,WR,domestic violence,Accused of disorderly conduct in Atlanta after fight with fiance.
2/14/2009,PIT,Jeff Reed,K,disorderly conduct,"Police said he broke towel dispenser in convenience store after finding it out of towels, also used profane language at employee in New Alexandria, Penn."
2/13/2009,JAC,Gerald Sensabaugh,S,traffic - other,"Accused of driving with a suspended license in Kingsport, Tenn. He had three guns in his Bentley, but apparently had a permit for them."
2/13/2009,JAC,Gerald Sensabaugh,S,firearms,"Accused of driving with a suspended license in Kingsport, Tenn. He had three guns in his Bentley, but apparently had a permit for them."
2/11/2009,BUF,Marshawn Lynch,RB,firearms,"Police in Culver City, Calif., said they checked car without tags and smelled marijuana, then found gun in trunk, plus marijuana cigarettes."
2/11/2009,BUF,Marshawn Lynch,RB,drugs,"Police in Culver City, Calif., said they checked car without tags and smelled marijuana, then found gun in trunk, plus marijuana cigarettes."
2/11/2009,JAC,Reggie Williams,WR,dui,"Pulled over in Houston at about 2 a.m., charged with drunken driving and possession of .97 grams of marijuana."
2/11/2009,JAC,Reggie Williams,WR,drugs,"Pulled over in Houston at about 2 a.m., charged with drunken driving and possession of .97 grams of marijuana."
2/8/2009,IND,Darrell Reid,DT,disorderly conduct,"Police said he refused to leave nightclub parking lot in Indianapolis, accused of disorderly conduct and trespassing."
2/5/2009,KC,Michael Merritt,TE,drugs,"Police officer in Orlando said he saw him with a marijuana cigarette, leading to marijuana possession charge."
2/2/2009,SF,Roderick Green,LB,firearms,"Pulled over in Brenham, Texas, accused of unlawfully carrying a weapon, marijuana possession, reckless driving and interfing with police, all misdemeanors."
2/2/2009,SF,Roderick Green,LB,drugs,"Pulled over in Brenham, Texas, accused of unlawfully carrying a weapon, marijuana possession, reckless driving and interfing with police, all misdemeanors."
2/2/2009,SF,Roderick Green,LB,reckless endagerment,"Pulled over in Brenham, Texas, accused of unlawfully carrying a weapon, marijuana possession, reckless driving and interfing with police, all misdemeanors."
2/1/2009,SD,Jamal Williams,DT,dui,"Pulled over for speeding in San Diego, accused of drunken driving but blood-alcohol content measured at under the legal limit of .08."
1/24/2009,PIT,Jonathan Dekker,TE,obstruction,"Accused of fleeing police and giving a false name after apparent public intoxication in Alexandria, Va."
1/24/2009,SEA,Leroy Hill,LB,drugs,"Accused of possessing less than an ounce of marijuana after being found asleep behind the wheel of his car at an intersection in Douglas County, Ga."
1/16/2009,NO,Jonathan Vilma,LB,reckless endagerment,Miami police said he resisted arrest after being spotting swerving his car and running red light.
1/10/2009,DAL,Anthony Spencer,LB,alcohol - other,"Bouncer at Indianapolis nightclub told police Spencer tried to punch him. Accused of public intoxication, disorderly conduct."
1/10/2009,DAL,Anthony Spencer,LB,disorderly conduct,"Bouncer at Indianapolis nightclub told police Spencer tried to punch him. Accused of public intoxication, disorderly conduct."
1/6/2009,SD,Vincent Jackson,WR,dui,"Pulled over for speeding and weaving, failed sobriety tests in San Diego, accused of drunken driving in 2008 GMC Sierra."
1/1/2009,BUF,Ko Simpson,S,obstruction,"Accused of hindering police in Rock Hill, S.C., when one of his friends was being arrested at bar. Police said Simpson proclaimed he was ""worth millions."""
12/28/2008,STL,Gary Stills,LB,child support,Civil warrant issued for unpaid child support.
12/21/2008,JAC,Travarous Bain,CB,traffic - other,"Pulled over for speeding in St. Johns County, Fla., accused of having suspended or revoked license."
12/7/2008,CAR,Jeremy Bridges,OG,assault,Accused of spraying champagne on restaurant patrons and making threats in Charlotte.
12/1/2008,NYG,Plaxico Burress,WR,firearms,Accidentally shot himself in thigh at New York club and did not have a permit for the pistol.
11/29/2008,NYJ,Shaun Ellis,DE,drugs,"Pulled over in Hanover, N.J., charged with marijuana possession, speeding and driving without insurance."
11/13/2008,NYG,Kareem McKenzie,OG,dui,"Pulled over in New Jersey, accused of drunken driving after cutting through a gas station parking lot."
10/27/2008,KC,Larry Johnson,RB,assault,"Charged with simple assault, accused of spitting in a woman's face at a nightclub in Kansas City."
10/23/2008,PIT,Santonio Holmes,WR,drugs,"Pulled over in Pittsburgh because police were looking for similar car, marijuana cigars found in his car by police."
10/18/2008,TB,Matt McCoy,LB,dui,"Pulled over near his home in Tampa after 4 a.m., accused of drunk driving."
9/28/2008,NYG,Danny Ware,RB,alcohol - other,"Accused of being a pedestrian under the influence of alcohol after standing in road talking in Athens, Ga."
9/15/2008,ATL,Lawyer Milloy,S,dui,"Accused of drunk driving, speeding after game in Atlanta."
9/14/2008,OAK,Tommy Kelly,DT,dui,Pulled over on suspicion of drunk driving in Oakland.
9/10/2008,IND,Ed Johnson,DT,drugs,"Pulled over for speeding near Indianapolis, charged with marijuana possession."
8/30/2008,CAR,Ricardo Colclough,CB,dui,"Accused of driving while impaired in Mecklenburg County, N.C., just hours before team made its final cuts."
8/30/2008,JAC,Fred Taylor,RB,disorderly conduct,"Forced out of car at gunpoint, accused of being uncooperative during search near nightclub in Miami Beach."
8/20/2008,HOU,Jameel Cook,RB,drugs,"Pulled over in Fort Bend County, Texas, ticketed for license and registration issues, charged with marijuana possession."
7/20/2008,TB,Donte Nicholson,S,battery,"Scuffled with security guards at bar, shot with stun gun, accused of resisting arrest and battery in St. Petersburg, Fla."
7/10/2008,JAC,Matt Jones,WR,drugs,Accused of cocaine possession after being spotted by Arkansas police in parked car cutting up cocaine-like substance.
7/8/2008,GB,Johnny Jolly,DE,drugs,Accused of having mixture containing codeine in his car after arrest outside Houston nightclub.
6/30/2008,NE,Willie Andrews,CB,domestic violence,"Accused of pointing gun at girlfriend's head, assault with a deadly weapon in Bristol County, Mass."
6/30/2008,NE,Willie Andrews,CB,firearms,"Accused of pointing gun at girlfriend's head, assault with a deadly weapon in Bristol County, Mass."
6/28/2008,BAL,Derrick Martin,CB,drugs,Cleveland airport security personnel say they found marijuana packets on him at airport.
6/22/2008,TEN,Jevon Kearse,DE,dui,"Accused of drunk driving near Vanderbilt campus in Nashville around 5 a.m., refused breath test."
6/21/2008,NYG,Geoffrey Pope,CB,assault,Accused of hitting man in head with champagne bottle at club in Detroit.
6/18/2008,ARI,J.J. Arrington,RB,disorderly conduct,"One of five arrested stemming from fight at nightclub in Nash County, N.C."
6/15/2008,NYG,Ahmad Bradshaw,RB,probation violation,"Undisclosed probation violation in Tazewell County, Va., stemming from undisclosed incident when he was a juvenile."
6/15/2008,ATL,Daren Stone,S,dui,Suspected of drunk driving in downtown Atlanta.
6/13/2008,TEN,Brandon Jones,WR,firearms,Accused of carrying .32-caliber gun into Nashville airport.
6/7/2008,CHI,Cedric Benson,RB,dui,"Accused of running a red light in Austin, Texas, suspected of drunk driving."
5/31/2008,BUF,Marshawn Lynch,RB,reckless endagerment,"Accused of hitting woman with his Porsche SUV in Buffalo, N.Y., and driving away. Woman required seven stiches for cut, plus hip bruise."
5/30/2008,JAC,Gerald Sensabaugh,S,reckless endagerment,"Accused of doing stunts on a motorcycle in Kingsport, Tenn."
5/24/2008,SF,Ezra Butler,LB,dui,"Pulled over in Nevada, accused of intoxicated driving and marijuana possession."
5/24/2008,SF,Ezra Butler,LB,drugs,"Pulled over in Nevada, accused of intoxicated driving and marijuana possession."
5/20/2008,NO,Charles Grant,DE,murder,"One of several men charged in connection to shooting death of innocent pregnant woman, a bystander at club fight in Early County, Ga."
5/10/2008,SEA,Lofa Tatupu,LB,dui,"Pulled over in Kirkland, Wash., for speeding. Police measured blood-alcohol content at .155 or more."
5/3/2008,CHI,Cedric Benson,RB,dui,"Accused of boating while intoxicated and resisting arrest on Lake Travis, Texas."
5/3/2008,ATL,Michael Boley,LB,domestic violence,"Accused of becoming physical with wife during argument at home in Dacula, Ga."
5/1/2008,CIN,Ahmad Brooks,LB,assault,"Accused of punching woman in left eye during dispute with neighbor in Burlington, Ky."
4/30/2008,Free agent,Darrion Scott,DE,assault,"Accused of putting dry-cleaning bag over 2-year-old son's head in Hennepin County, Minn. He later signed with the Redskins."
4/27/2008,NE,Nick Kaczur,OT,drugs,"Pulled over for speeding in Whitestown, N.Y., accused of having 202 OxyContin pills, charged with misdemeanor drug possession."
4/26/2008,DET,Kalvin Pearson,S,domestic violence,"Accused of aggravated battery of pregnant woman, domestic battery by strangulation, obstrucing officer near Tampa, Fla."
4/21/2008,SEA,Rocky Bernard,DT,domestic violence,Accused of hitting his girlfriend in the head at Seattle nightclub.
4/21/2008,IND,Kenton Keith,RB,alcohol - other,"Accused of refusing to leave nightclub parking lot being cleared by police, trespassing, public intoxication, disorderly conduct in Indianapolis."
4/13/2008,SF,Donald Strickland,CB,alcohol - other,"Accused of running away from police in San Jose, public intoxication and resisting arrest."
4/11/2008,MIA,Reagan Mauia,RB,battery,"Accused of knocking a man out in restaurant parking lot in Weston, Fla."
4/3/2008,CLE,Kenny Wright,CB,drugs,"Accused of evading arrest by trying to outrun police in Pearland, Texas, misdemeanor marijuana possession."
3/31/2008,CIN,Chris Henry,WR,assault,Accused of punching man and throwing beer bottle at car window in Cincinnati.
3/19/2008,PIT,Cedrick Wilson,WR,domestic violence,"Accused of punching ex-girlfriend in the face, disorderly conduct at restaurant near Pittsburgh."
3/16/2008,HOU,Jacoby Jones,WR,dui,Accused of drunken driving while stuck in Houston traffic.
3/15/2008,TEN,LenDale White,RB,disorderly conduct,"Accused of property destruction, disobedience to a lawful order and resistance stemming from party in hometown of Denver."
3/11/2008,CAR,Dwayne Jarrett,WR,dui,"Police say he ran a red light and crossed center line, accused of drunken driving with blood-alcohol content of 0.12 near Charlotte."
3/8/2008,PIT,James Harrison,LB,domestic violence,"Accused of hitting his girlfriend near Pittsburgh during argument about whether to baptize his son, simple assault, mischief."
3/6/2008,DEN,Brandon Marshall,WR,domestic violence,"Accused of hitting his girlfriend on March 4 in Atlanta, misdemeanor battery."
3/1/2008,DEN,Marcus Thomas,DT,drugs,"Pulled over in Clay County, Fla., accused of cocaine possession after police said the found the drug and gun in truck."
3/1/2008,CLE,Kenny Wright,CB,drugs,"Pulled over for speeding in Texas, charged with misdemeanor marijuana possession."
2/26/2008,NE,Kevin Faulk,RB,drugs,"Accused of possessing marijuana cigarettes at concert in Lafayette, La."
2/24/2008,KC,Larry Johnson,RB,assault,Accused of pushing a woman's head and Kansas City nightclub.
2/24/2008,MIN,Bryant McKinnie,OT,battery,"Police report said he spit on nightclub security guard in Miami after being kicked out, accused of disorderly conduct, resisting arrest."
2/19/2008,DEN,Andre Hall,RB,traffic - other,"Arrest warrant issued stemming from driving without valid license in Pinellas County, Fla., and not appearing in court afterward."
2/19/2008,OAK,Fabian Washington,CB,domestic violence,"Accused of domestic battery in Bradenton, Fla., after incident with girlfriend. Police observed ""slight red marks"" on her neck."
2/18/2008,HOU,Jerome Mathis,WR,domestic violence,"Accused of choking pregnant, common-law wife in Manvel, Texas."
2/17/2008,BUF,Roscoe Parrish,WR,dui,"Pulled over around 4:30 a.m. in Miami, suspected of drunk driving."
2/16/2008,PHI,Mike Patterson,DT,drugs,Charged with marijuana possession after police said they found it in his car in New Jersey.
2/13/2008,NYG,Antonio Pierce,LB,animal abuse,"Accused of neglecting pit bulls in Monroe Township, N.J., after one was found severely underweight and suffering from illness."
2/5/2008,NE,Willie Andrews,CB,drugs,"Pulled over in Massachusetts, where police said they found a half-pound of marijuana and $6,800 in cash."
2/1/2008,NYG,Adrian Awasom,DE,dui,"Pulled over about 3:10 a.m. in Phoenix, accused of extreme drunken driving two days before Super Bowl there."
2/1/2008,MIA,Matt Roth,DE,alcohol - other,"Accused of public intoxication, refusing to leave bar in Iowa."
1/24/2008,DEN,Matt Prater,K,dui,"Accused of drunken driving in Orlando, Fla., refusing breath test."
1/14/2008,JAC,Brent Hawkins,DE,dui,"Pulled over for speeding, accused of drunken driving near Jacksonville after telling police he had three vodkas with orange juice."
1/11/2008,DEN,Daniel Graham,TE,domestic violence,"Suspected of harrasing former girlfriend near Denver, who told law enforcement he struck a bedpost during argument about sale of home."
12/29/2007,BAL,Gerome Sapp,S,assault,Ex-teammate Joe Maese accused him of punching him at bar in Baltimore. Sapp then alleged similar charge against Maese.
12/28/2007,JAC,Stockar McDougle,OT,battery,Charged with battery on person 65 or older at landscaping company in dispute over interest on bill in Miami.
12/26/2007,MIN,Darrion Scott,DE,drugs,"Pulled over in Charleston, W.Va., cited for possession of 7.1 grams of marijuana."
12/13/2007,MIN,Dwight Smith,S,drugs,"Pulled over in Minneapolis, cited for marijuana possession."
12/8/2007,DEN,Todd Sauerbrun,P,alcohol - other,Cited for simple assault after incident outside restaurant involving a cab driver in Denver. Police said he was taken to detox facility.
12/8/2007,DEN,Todd Sauerbrun,P,assault,Cited for simple assault after incident outside restaurant involving a cab driver in Denver. Police said he was taken to detox facility.
12/1/2007,DEN,Darrell Hackney,QB,dui,"Pulled over about 2:20 a.m., accused of drunk driving near Denver."
11/29/2007,HOU,Chester Pitts,OG,resisting arrest,"Pulled over in Houston for making illegal left turn, Pitts was accused of driving away despite police orders."
11/19/2007,TB,Cato June,LB,dui,"Pulled over for speeding, accused of drunk driving in Tampa."
11/3/2007,JAC,Richard Collier,OT,dui,"Police in Jacksonville said they found him asleep at the wheel in McDonald's drive-thru window, charged him drunk driving. Blood-alcohol 0.96."
11/3/2007,JAC,Justin Durant,LB,alcohol - other,"Police said they found him in his car on road, charged him with possession of open container and resisting arrest in Jacksonville, Fla."
11/3/2007,JAC,Justin Durant,LB,resisting arrest,"Police said they found him in his car on road, charged him with possession of open container and resisting arrest in Jacksonville, Fla."
10/23/2007,STL,Claude Terrell,OG,domestic violence,"Charged with assaulting his wife at hotel near Houston, where she was found with ""obvious signs of physical injury."""
10/22/2007,DEN,Brandon Marshall,WR,dui,"Pulled over for driving erratically in Denver, charged with drunk driving. Blood-alcohol registered at .116."
10/12/2007,WAS,Kili Lefotu,OG,alcohol - other,"Charged with being drunk in public after conflict with patron at a restaurant in Ashburn, Va. Also accused of assault and property destruction."
10/12/2007,WAS,Kili Lefotu,OG,assault,"Charged with being drunk in public after conflict with patron at a restaurant in Ashburn, Va. Also accused of assault and property destruction."
