date,team,player,position,crimeraw,desc
1/31/2015,ARI,Bobby Massie,OT,dui,"Suspected of drunken driving in Tempe, Ariz., he flunked two sobriety tests and had a blood-alcohol content of 0.14 percent."
1/23/2015,IND,Andrew Jackson,LB,dui,"Pulled over in Bowling Green, Ky., accused of drunk driving, blood-alcohol content of .088."
1/19/2015,GB,Datone Jones,DE,drugs,Accused of marijuana possession in Green Bay after police were called to check vehicle playing loud music in parking lot.
1/14/2015,IND,Josh McNary,LB,domestic violence,"Accused of rape, battery and criminal confinement of woman who said he attacked her Dec. 1 after night of drinking in Indianapolis."
1/14/2015,IND,Josh McNary,LB,rape,"Accused of rape, battery and criminal confinement of woman who said he attacked her Dec. 1 after night of drinking in Indianapolis."
1/10/2015,NYJ,Oday Aboushi,OG,drugs,"Pulled over in Morris Plains, N.J., accused of possessing marijuana and drug paraphernalia."
1/9/2015,NYJ,Chris Johnson,RB,firearms,"Pulled over in Orlando, accused of misdemeanor gun offense after two guns were found in his vehicle."
1/7/2015,CHI,Tim Jennings,CB,dui,"Pulled over for allegedly driving 99 mph in 65-mph zone in Gwinnett County, Ga. Accused of drunken and reckless driving."
1/5/2015,NO,Junior Galette,LB,domestic violence,"Accused of simple battery against woman in Galette's home. Police in Kenner, La., noted bleeding from her ear and also arrested Galette''s cousin."
12/29/2014,NYJ,Jermaine Cunningham,LB,firearms,"Accused of spreading sexual images, criminal mischief and illegally transporting a gun found in his Audi in Union County, N.J."
12/29/2014,NYJ,Jermaine Cunningham,LB,privacy invasion,"Accused of spreading sexual images, criminal mischief and illegally transporting a gun found in his Audi in Union County, N.J."
12/29/2014,MIN,Jabari Price,CB,dui,"Pulled over for speeding in Hennepin County, Minn., accused of misdemeanor drunken driving."
11/16/2014,JAC,Dwayne Gratz,CB,trespassing,Accused of disorderly intoxication and trespassing after trying to buy items at a store in Miami with bubble gum instead of money.
10/24/2014,TEN,Shonn Greene,RB,traffic - other,"Accused of leaving the scene, reckless driving and driving with a suspended license in Franklin, Tenn., after being caught parking in handicap spot."
10/22/2014,DEN,John Boyett,S,assault,"Accused of being drunk, head-butting and hitting a cab driver and trying to hide from police by stealing a shovel and covering himself in mulch in Greenwood Village, Colo.."
10/13/2014,DAL,Joseph Randle,RB,theft,"Accused of shoplifting at store in Frisco, Texas, after allegedly being caught in the act on video."
10/5/2014,MIN,Tom Johnson,DT,trespassing,Police said he refused to leave a restaurant in Minneapolis after it closed. Police used a chemical spray and stun gun on him when they say he resisted.
10/4/2014,MIA,Derrick Shelby,DE,trespassing,Police report in Fort Lauderdale says he was touching females at club without permission and refused to leave when asked.
9/29/2014,IND,Da'Rick Rogers,WR,dui,"Pulled over for swerving in Indianapolis, suspected of drunken driving."
9/17/2014,ARI,Jonathan Dwyer,RB,domestic violence,Suspected of aggravated assault in incident involving woman in Phoenix.
