player,position,crimeraw,crime_count
Gerard Lawson,DB,dui,1
Jerome Murphy,CB,license,1
Derrick Morgan,DE,license,1
Ray McDonald,DE,dui,1
Brandon Underwood,CB,sexual assault,1
Phillip Merling,DE,domestic violence,1
Kevin Ellison,S,drugs,1
Harry Coleman,S,battery,1
Ronald Fields,DT,gun,1
Leroy Hill,LB,domestic violence,1
Shaun Rogers,DT,gun,1
Joey Porter,LB,"dui, assault",2
Will Allen,CB,dui,1
Byron Westbrook,CB,dui,1
Tony McDaniel,DT,domestic violence,1
Michael Richardson,CB,alcohol,1
Rey Maualuga,LB,dui,1
Jermaine Phillips,S,domestic violence,1
Bobby McCray,DE,dui,1
Jonathan Babineaux,DT,drugs,1
Jon Beason,LB,assault,1
Will Billingsley,CB,domestic violence,1
John Gill,DT,public intoxication,1
Shawne Merriman,LB,domestic violence,1
Usama Young,S,failure to appear,1
Cedric Griffin,CB,dui,1
Tony Fein,LB,assault,1
Aqib Talib,CB,assault,1
Juqua Parker,DE,drugs,1
Randy Starks,DE,assault,1
Shaun Phillips,LB,battery,1
Donte Whitner,DB,disorderly conduct,1
Leon Hall,CB,dui,1
David Macklin,CB,dui,1
Albert Haynesworth,DT,reckless driving,1
Gerald Sensabaugh,S,"license, guns",2
Darrell Reid,DT,disorderly conduct,1
Roderick Green,LB,"guns, drugs, reckless driving",3
Jamal Williams,DT,dui,1
Leroy Hill,LB,drugs,1
Jonathan Vilma,LB,reckless driving,1
Anthony Spencer,LB,"alcohol, disorderly conduct",2
Ko Simpson,S,interfering with police,1
Gary Stills,LB,child support,1
Travarous Bain,CB,license,1
Shaun Ellis,DE,drugs,1
Matt McCoy,LB,dui,1
Lawyer Milloy,S,dui,1
Tommy Kelly,DT,dui,1
Ed Johnson,DT,drugs,1
Ricardo Colclough,CB,dui,1
Donte Nicholson,S,battery,1
Johnny Jolly,DE,drugs,1
Willie Andrews,CB,"domestic violence, gun",2
Derrick Martin,CB,drugs,1
Jevon Kearse,DE,dui,1
Geoffrey Pope,CB,assault,1
Daren Stone,S,dui,1
Gerald Sensabaugh,S,reckless driving,1
Ezra Butler,LB,"dui, drugs",2
Charles Grant,DE,manslaughter,1
Lofa Tatupu,LB,dui,1
Michael Boley,LB,domestic violence,1
Ahmad Brooks,LB,assault,1
Kalvin Pearson,S,domestic violence,1
Rocky Bernard,DT,domestic violence,1
Donald Strickland,CB,alcohol,1
Kenny Wright,CB,drugs,1
James Harrison,LB,domestic violence,1
Marcus Thomas,DT,drugs,1
Kenny Wright,CB,drugs,1
Fabian Washington,CB,domestic violence,1
Mike Patterson,DT,drugs,1
Antonio Pierce,LB,animal neglect,1
Willie Andrews,CB,drugs,1
Adrian Awasom,DE,dui,1
Matt Roth,DE,alcohol,1
Brent Hawkins,DE,dui,1
Gerome Sapp,S,assault,1
Darrion Scott,DE,drugs,1
Dwight Smith,S,drugs,1
Cato June,LB,dui,1
Justin Durant,LB,"alcohol, resisting arrest",2
Leigh Bodden,CB,resisting arrest,1
Lance Briggs,LB,reckless driving,1
Anthony Hargrove,DE,resisting arrest,1
Bryant McNeal,DE,outstanding warrant,1
Anthony Waters,LB,assault,1
Claude Wroten,DT,domestic violence,1
Fred Evans,DT,"battery, resisting arrrest",2
Terry Johnson,DT,dui,1
Adam Jones,CB,"coercion, gun",2
Nick Barnett,LB,battery,1
Jimmy Williams,CB,drugs,1
Justin Miller,CB,assault,1
A.J. Nicholson,LB,domestic violence,1
Richard Seigler,LB,pimping,1
Ahmad Carroll,CB,"gun, drugs",2
Ronyell Whitaker,CB,outstanding warrant,1
Cedric Griffin,CB,disorderly conduct,1
Darrell Reid,DE,drugs,1
E.J. Kuale,LB,"gun, drugs",2
Gerald Sensabaugh,S,gun,1
Joey Porter,LB,battery,1
Deshea Townsend,CB,assault,1
Jonathan Babineaux,DT,animal abuse,1
Fred Evans,DT,drugs,1
Johnathan Joseph,CB,drugs,1
Terrance Kiel,S,public urination,1
Terry Johnson,DT,guns,1
Deltha O'Neal,CB,dui,1
Cletis Gordon,CB,dui,1
Marcus Coleman,S,dui,1
Donte Whitner,S,domestic dispute,1
Adam Jones,CB,assault,1
Robert Reynolds,LB,domestic violence,1
Bobby McCray,DE,drugs,1
Markus Curry,CB,domestic violence,1
Kenoy Kennedy,S,dui,1
Sam Brandon,S,violating court order,1
Jared Allen,DE,dui,1
Terrance Kiel,S,drugs,1
Odell Thurman,LB,dui,1
Steve Foley,LB,dui,1
Brian Williams,CB,dui,1
Dwight Smith,S,sex,1
Adam Jones,CB,public intoxication,1
Randy Starks,DT,domestic violence,1
Matthias Askew,DT,resisting arrest,1
Johnathan Sullivan,DT,"drugs, gun",2
Cortland Finnegan,CB,dui,1
Frostee Rucker,DE,domestic violence,1
Cato June,LB,failure to appear,1
A.J. Nicholson,LB,theft,1
Karl Paymah,CB,dui,1
Keith Traylor,DT,"dui, drugs",2
Vincent Burns,DT,disorderly conduct,1
Albert Haynesworth,DT,reckless driving,1
Jared Allen,DE,dui,1
Ricky Manning,CB,assault,1
Steve Foley,LB,"battery, alcohol",2
Shaun Phillips,LB,resisting arrest,1
Bryce Fisher,DE,domestic violence,1
Dhani Jones,LB,disorderly conduct,1
Adam Jones,CB,drugs,1
Jimmy Verdon,DE,battery,1
Ahmad Carroll,CB,assault,1
