player,position,crimeraw,crime_count
Todd Sauerbrun,P,dui,1
Bryan Pittman,C,dui,1
Joshua Rue,RB,domestic violence,1
David Terrell,WR,reckless driving,1
Paul Zukauskas,OG,dui,1
Matt Schaub,QB,assault,1
David Boston,WR,assault,1
Marquise Walker,WR,dui,1
Randy McMichael,TE,domestic violence,1
Chris Naeole,OG,disorderly conduct,1
Kevin Ware,TE,public intoxication,1
Steve Farmer,TE,assault,1
David Tyree,WR,drugs,1
Jamal Lewis,RB,drugs,1
Jason Gesser,QB,dui,1
Levi Jones,OT,obstruction,1
Jeff Garcia,QB,dui,1
Larry Johnson,RB,"domestic violence, gun",2
James Lynch,FB,public intoxication,1
William Green,RB,"dui, drugs",2
Kenyatta Jones,OT,assault,1
Rabih Abdullah,RB,dui,1
Sebastian Janikowski,K,"assault, alcohol",2
Rodney Wright,WR,dui,1
Wayne Hunter,OT,domestic violence,1
Bryant McKinnie,OT,obstruction,1
Dwayne Carswell,TE,domestic violence,1
Dennis McKinley,FB,drugs,1
Michael Pittman,RB,domestic violence,1
Steve McNair,QB,"dui, gun",2
Kenyatta Walker,OT,disorderly conduct,1
Jerramy Stevens,TE,dui,1
Koren Robinson,WR,disorderly conduct,1
Lamar Smith,RB,dui,1
Steve Smith,WR,assault,1
Chris Terry,OT,failure to appear,1
Victor Riley,OT,dui,1
Deuce McAllister,RB,license,1
Cosey Coleman,OG,domestic violence,1
Sebastian Janikowski,K,dui,1
Randy Moss,WR,"reckless driving, drugs",2
Deveren Johnson,WR,breach of peace,1
Willie Roaf,OT,dui,1
Chris Terry,OT,domestic violence,1
Charlie Rogers,RB,assault,1
Marvel Smith,OT,drugs,1
Najeh Davenport,RB,burglary,1
Rodney Wright,WR,reckless driving,1
Sheldon Jackson,TE,"drugs, license",2
Ricky Williams,RB,license,1
David Terrell,WR,battery,1
Jeremy Newberry,C,assault,1
Vinny Sutherland,WR,dui,1
Plaxico Burress,WR,public intoxication,1
Dominic Rhodes,RB,domestic violence,1
David Boston,WR,"dui, drugs",2
Ricky Williams,RB,reckless driving,1
Yusuf Scott,OG,leaving scene.,1
Kevin Faulk,RB,resisting arrest,1
Muhsin Muhammad,WR,"drugs, gun",2
Jeff Graham,WR,gun,1
Albert Connell,WR,theft,1
Plaxico Burress,WR,alcohol,1
Neil Rackers,K,assault,1
O.J. Santiago,TE,drugs,1
Mike Sellers,FB,"dui, drugs",2
Jimmy Smith,WR,dui,1
Travis Henry,RB,sex,1
Vinny Sutherland,WR,dui,1
Eddie Kennison,WR,disorderly conduct,1
R. Jay Soward,WR,disorderly conduct,1
Stacey Mack,RB,solicitation,1
Paul Edinger,K,dui,1
Aaron Gibson,OT,assault,1
Michael Pittman,RB,domestic violence,1
Michael Pittman,RB,domestic violence,1
Victor Riley,OT,domestic violence,1
Terry Glenn,WR,domestic violence,1
John Capel,WR,drugs,1
Leon Searcy,OT,domestic violence,1
Thomas Hamner,RB,animal abuse,1
Adrian Klemm,OT,assault,1
Dwayne Carswell,TE,domestic violence,1
Akili Smith,QB,dui,1
John Davis,TE,dui,1
Thomas Hamner,RB,animal abuse,1
Brian Griese,QB,dui,1
Joey Galloway,WR,assault,1
Stacey Mack,RB,theft,1
Corey Dillon,RB,domestic violence,1
Andre Rison,WR,theft,1
Andre Rison,WR,false information,1
Darnell McDonald,WR,"burglary, battery",2
Darnay Scott,WR,theft,1
Sebastian Janikowski,K,drugs,1
Marco Rivera,OG,dui,1
Mike Sellers,FB,dui,1
Tony Hutson,OT,"failure to appear, gun",2
Mark Chmura,TE,sexual assault,1
De'Mond Parker,RB,drugs,1
Chris Walsh,WR,dui,1
Solomon Page,OT,disorderly conduct,1
Mario Bates,RB,domestic violence,1
Tamarick Vanover,WR,theft,1
Ricky Williams,RB,failure to appear,1
Benji Olson,OG,dui,1
Andre Rison,WR,theft,1
Wayne Chrebet,WR,disorderly conduct,1
Keith Elias,RB,disorderly conduct,1
Fred Lane,RB,"drugs, gun",2
Rod Smith,WR,domestic violence,1
